Frame,MAR
0,0.022459987164580333
1,0.013045451257138733
2,0.023627916967535054
3,0.02895011626946952
4,0.02174683980216301
5,0.030380515275523573
6,0.319672131147541
7,0.7748408257562092
8,0.8232727478423635
9,1.0863601158363905
10,1.0471870162017591
11,0.8013003119448224
12,0.8877599225028889
13,0.863736691548004
14,0.7697088267433865
15,0.18274050651464097
16,0.04330185133262886
17,0.015149776296267386
18,1.0005611485203967
19,1.1835087719233655
20,1.1294667199154562
21,0.812720398551413
22,1.2207391479649174
23,1.076372059959322
24,0.918128003250009
25,0.17224767700069182
26,0.007139943474719248
27,0.021124665382082585
28,0.7039056002809403
29,0.9842211516728168
30,1.2244917369726813
31,1.2238688910698838
32,1.155142701154515
33,1.2253452467889623
34,1.079756221218279
35,0.9833855965711097
36,0.06249397270840973
37,0.05631568953682383
38,0.038667919679705294
39,0.043239351634912514
40,0.026936719251502702
41,0.05588504137351525
42,0.009682760956526494
43,0.08267675741951767
44,0.040877427203976906
45,0.007352146220938078
46,0.048564293117863214
47,0.1504213767999097
48,0.10700161791208784
49,0.10848231656536432
50,0.08490920540670566
51,0.042481234374873854
52,0.06673756979600882
53,0.06214161126702882
54,0.06951397959257798
55,0.007139943474719248
56,0.030229879013149923
57,0.028143901789211678
58,0.03421769287674753
59,0.029819636134719926
60,0.04995414479088349
